corpus,method,hellinger,jaccard,kld
arxiv pubmed,kl,0.26,0.81,0.25
arxiv pubmed,lexrank,0.27,0.79,0.24
arxiv pubmed,lsa,0.26,0.82,0.25
arxiv pubmed,luhn,0.34,0.82,0.27
arxiv pubmed,edmundson,0.28,0.80,0.27
arxiv pubmed,random,0.26,0.81,0.26
arxiv pubmed,reduction,0.33,0.82,0.29
arxiv pubmed,sumbasic,0.25,0.80,0.23
arxiv pubmed,textrank,0.27,0.79,0.24
arxiv pubmed,bart,0.26,0.83,0.26
arxiv pubmed,mt5,0.27,0.87,0.29
arxiv pubmed,pegasus,0.41,0.89,0.74
big patent,kl,0.29,0.84,0.31
big patent,lexrank,0.30,0.86,0.29
big patent,lsa,0.30,0.86,0.29
big patent,luhn,0.51,0.89,0.32
big patent,edmundson,0.40,0.86,0.29
big patent,random,0.31,0.85,0.28
big patent,reduction,0.49,0.88,0.32
big patent,sumbasic,0.29,0.85,0.28
big patent,textrank,0.50,0.88,0.32
big patent,bart,0.28,0.85,0.28
big patent,mt5,0.27,0.88,0.29
big patent,pegasus,0.40,0.88,0.63
cnn corpus,kl,0.24,0.84,0.21
cnn corpus,lexrank,0.23,0.81,0.19
cnn corpus,lsa,0.23,0.85,0.20
cnn corpus,luhn,0.24,0.80,0.18
cnn corpus,edmundson,0.23,0.82,0.19
cnn corpus,random,0.23,0.85,0.21
cnn corpus,reduction,0.24,0.81,0.18
cnn corpus,sumbasic,0.22,0.86,0.20
cnn corpus,textrank,0.24,0.81,0.18
cnn corpus,bart,0.22,0.83,0.19
cnn corpus,mt5,0.23,0.90,0.22
cnn corpus,pegasus,0.22,0.83,0.19
cnn dailymail,kl,0.26,0.91,0.23
cnn dailymail,lexrank,0.25,0.90,0.22
cnn dailymail,lsa,0.25,0.91,0.21
cnn dailymail,luhn,0.27,0.90,0.21
cnn dailymail,edmundson,0.25,0.91,0.22
cnn dailymail,random,0.23,0.90,0.21
cnn dailymail,reduction,0.28,0.91,0.22
cnn dailymail,sumbasic,0.24,0.91,0.22
cnn dailymail,textrank,0.28,0.91,0.22
cnn dailymail,bart,0.22,0.84,0.20
cnn dailymail,mt5,0.23,0.90,0.21
cnn dailymail,pegasus,0.24,0.88,0.24
xsum,kl,0.25,0.93,0.22
xsum,lexrank,0.24,0.93,0.21
xsum,lsa,0.23,0.94,0.21
xsum,luhn,0.24,0.94,0.22
xsum,edmundson,0.24,0.94,0.22
xsum,random,0.24,0.94,0.22
xsum,reduction,0.25,0.93,0.22
xsum,sumbasic,0.24,0.93,0.22
xsum,textrank,0.26,0.93,0.22
xsum,bart,0.23,0.93,0.22
xsum,mt5,0.21,0.85,0.18
xsum,pegasus,0.20,0.81,0.16